pid,period_id,ix_id,date,stimulus,switch,content,switches_open,sensor_volts,starttime,endtime,duration,recording,monkey,individual,walking_through,sitting,test_phase_day,study_day,test_phase,using_stimuli,start_hour,condition
1561d74e,7cff,4.20E+124,2021-05-14,no-stimulus,2,none,"False, False, True","0.28, 0.27, 1.31",2021-05-14 15:00:29,2021-05-14 15:00:31,3.1,2021-05-14_15-00_7cff.h264,Saki,Igor,TRUE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,7cff,3ad69d,2021-05-14,no-stimulus,0,none,"True, False, False","0.77, 0.23, 0.17",2021-05-14 15:00:31,2021-05-14 15:00:34,3.05,2021-05-14_15-00_7cff.h264,Saki,Igor,TRUE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,0ddb,770314,2021-05-14,no-stimulus,2,none,"False, False, True","0.28, 0.21, 1.0",2021-05-14 15:04:21,2021-05-14 15:04:24,3.08,2021-05-14_15-04_0ddb.h264,Saki,Hubert,TRUE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,0ddb,d64859,2021-05-14,no-stimulus,0,none,"True, False, False","0.62, 0.24, 0.17",2021-05-14 15:04:24,2021-05-14 15:04:27,3.08,2021-05-14_15-04_0ddb.h264,Saki,Hubert,TRUE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,f2c4,d5fecf,2021-05-14,no-stimulus,2,none,"False, False, True","0.22, 0.26, 1.0",2021-05-14 15:05:50,2021-05-14 15:05:53,3.13,2021-05-14_15-05_f2c4.h264,Saki,Igor,TRUE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,3.40E+02,04bb08,2021-05-14,no-stimulus,2,none,"False, False, True","0.28, 0.24, 0.74",2021-05-14 15:17:42,2021-05-14 15:17:45,3.1,2021-05-14_15-17_34e1.h264,Saki,Hubert,FALSE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,3.40E+02,5b9bf1,2021-05-14,no-stimulus,0,none,"True, False, False","0.62, 0.24, 0.17",2021-05-14 15:17:45,2021-05-14 15:17:48,3.22,2021-05-14_15-17_34e1.h264,Saki,Hubert,FALSE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,b095,89a3ff,2021-05-14,no-stimulus,0,none,"True, False, False","0.78, 0.24, 0.17",2021-05-14 15:50:54,2021-05-14 15:50:59,5.47,2021-05-14_15-50_b095.h264,Saki,Bea,FALSE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,b095,83b81c,2021-05-14,no-stimulus,1,none,"True, True, False","0.77, 0.94, 0.18",2021-05-14 15:50:59,2021-05-14 15:51:02,3.07,2021-05-14_15-50_b095.h264,Saki,Bea,FALSE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,b095,4537d3,2021-05-14,no-stimulus,2,none,"False, False, True","0.29, 0.24, 0.64",2021-05-14 15:51:02,2021-05-14 15:51:06,3.1,2021-05-14_15-50_b095.h264,Saki,Bea,FALSE,FALSE,1,1,1-control-prior,FALSE,15,first-baseline
1561d74e,5217,224fac,2021-05-15,no-stimulus,2,none,"False, False, True","0.24, 0.25, 0.21",2021-05-15 5:31:20,2021-05-15 5:31:25,4.13,2021-05-15_05-31_5217.h264,Saki,Hubert,TRUE,FALSE,1,1,1-control-prior,FALSE,5,first-baseline
1561d74e,5217,1f8a9e,2021-05-15,no-stimulus,1,none,"False, True, True","0.27, 0.87, 0.7",2021-05-15 5:31:25,2021-05-15 5:31:28,3.17,2021-05-15_05-31_5217.h264,Saki,Hubert,TRUE,FALSE,1,1,1-control-prior,FALSE,5,first-baseline
1561d74e,12d0,11e2ee,2021-05-15,no-stimulus,1,none,"False, True, False","0.27, 0.84, 0.61",2021-05-15 7:05:06,2021-05-15 7:05:09,3.18,2021-05-15_07-05_12d0.h264,Saki,Igor,TRUE,FALSE,1,1,1-control-prior,FALSE,7,first-baseline
1561d74e,04c3,afadcc,2021-05-15,no-stimulus,2,none,"False, False, True","0.28, 0.24, 0.7",2021-05-15 7:16:02,2021-05-15 7:16:05,3.13,2021-05-15_07-16_04c3.h264,Saki,Hubert,TRUE,FALSE,1,1,1-control-prior,FALSE,7,first-baseline
