stimulus,content,switch,test_phase,test_phase_day,study_day,interactions,interactions.monkey,usetime,usetime.monkey
auditory,rain,0,2-audio-1,1,8,1,0.3333333,3.23,1.076667
auditory,traffic,1,2-audio-1,1,8,0,0,0,0
auditory,music,2,2-audio-1,1,8,1,0.3333333,3.1,1.033333
auditory,rain,0,2-audio-1,2,9,6,2,23.29,7.763333
auditory,traffic,1,2-audio-1,2,9,1,0.3333333,4.63,1.543333
auditory,music,2,2-audio-1,2,9,10,3.3333333,31.1,10.366667
auditory,rain,0,2-audio-1,3,10,1,0.3333333,3.22,1.073333
auditory,traffic,1,2-audio-1,3,10,1,0.3333333,3.1,1.033333
auditory,music,2,2-audio-1,3,10,3,1,9.31,3.103333
visual,underwater,0,3-visual-1,1,11,0,0,0,0
visual,worms,1,3-visual-1,1,11,1,0.3333333,3.17,1.056667
visual,abstract,2,3-visual-1,1,11,3,1,9.49,3.163333
visual,underwater,0,3-visual-1,2,12,0,0,0,0
visual,worms,1,3-visual-1,2,12,0,0,0,0
visual,abstract,2,3-visual-1,2,12,1,0.3333333,3.21,1.07
visual,underwater,0,3-visual-1,3,13,0,0,0,0
visual,worms,1,3-visual-1,3,13,0,0,0,0
visual,abstract,2,3-visual-1,3,13,1,0.3333333,3.21,1.07
auditory,music,0,4-audio-2,1,14,5,1.6666667,53.31,17.77
auditory,rain,1,4-audio-2,1,14,1,0.3333333,3.23,1.076667
auditory,traffic,2,4-audio-2,1,14,3,1,9.4,3.133333
auditory,music,0,4-audio-2,2,15,4,1.3333333,12.5,4.166667
auditory,rain,1,4-audio-2,2,15,0,0,0,0
auditory,traffic,2,4-audio-2,2,15,5,1.6666667,15.47,5.156667
auditory,music,0,4-audio-2,3,16,1,0.3333333,3.12,1.04
auditory,rain,1,4-audio-2,3,16,1,0.3333333,3.1,1.033333
auditory,traffic,2,4-audio-2,3,16,2,0.6666667,6.22,2.073333
visual,abstract,0,5-visual-2,1,17,1,0.3333333,3.13,1.043333
visual,underwater,1,5-visual-2,1,17,0,0,0,0
visual,worms,2,5-visual-2,1,17,0,0,0,0
visual,abstract,0,5-visual-2,2,18,2,0.6666667,6.25,2.083333
visual,underwater,1,5-visual-2,2,18,1,0.3333333,3.2,1.066667
visual,worms,2,5-visual-2,2,18,1,0.3333333,3.16,1.053333
visual,abstract,0,5-visual-2,3,19,0,0,0,0
visual,underwater,1,5-visual-2,3,19,0,0,0,0
visual,worms,2,5-visual-2,3,19,0,0,0,0
auditory,traffic,0,6-audio-3,1,20,3,1,9.29,3.096667
auditory,music,1,6-audio-3,1,20,0,0,0,0
auditory,rain,2,6-audio-3,1,20,3,1,9.57,3.19
auditory,traffic,0,6-audio-3,2,21,1,0.3333333,3.1,1.033333
auditory,music,1,6-audio-3,2,21,0,0,0,0
auditory,rain,2,6-audio-3,2,21,2,0.6666667,6.21,2.07
auditory,traffic,0,6-audio-3,3,22,0,0,0,0
auditory,music,1,6-audio-3,3,22,0,0,0,0
auditory,rain,2,6-audio-3,3,22,0,0,0,0
visual,worms,0,7-visual-3,1,23,3,1,9.55,3.183333
visual,abstract,1,7-visual-3,1,23,0,0,0,0
visual,underwater,2,7-visual-3,1,23,5,1.6666667,15.88,5.293333
visual,worms,0,7-visual-3,2,24,2,0.6666667,6.29,2.096667
visual,abstract,1,7-visual-3,2,24,0,0,0,0
visual,underwater,2,7-visual-3,2,24,3,1,53.04,17.68
visual,worms,0,7-visual-3,3,25,1,0.3333333,3.16,1.053333
visual,abstract,1,7-visual-3,3,25,1,0.3333333,3.15,1.05
visual,underwater,2,7-visual-3,3,25,3,1,9.3,3.1
